04-14 12:40:32.140  1807  4615 W ActivityManager: pid 13546 com.android.settings sent binder code 1599295570 with flags 0 to frozen apps and got error -74
04-14 12:40:32.148 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.151 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.152 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.158 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.159 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.161 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.162 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.172 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.175 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.177 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.178 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.180 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.181 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.183 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.184 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.186 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.193 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.195 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.196 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.196 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.277 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.279 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.279 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.286 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.290 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.291 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.298 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.300 13546 13739 W ProcStatsManager: No process com.whatsapp.w4b/10464 for service com.whatsapp.infra.crash.upload.ExceptionsUploadService
04-14 12:40:32.300 13546 13739 W ProcStatsManager: No process com.whatsapp/10307 for service com.whatsapp.infra.crash.upload.ExceptionsUploadService
04-14 12:40:32.303 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.313 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.330  1807 28188 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.bindService:2167 com.samsung.android.mcf.continuity.impl.common.ContinuityAbstractAdapterImpl.$r8$lambda$9zIBb7iQw8awD01nYqR9TF42vDM:176 com.samsung.android.mcf.continuity.impl.common.ContinuityAbstractAdapterImpl$$ExternalSyntheticLambda3.run:7 com.samsung.android.mcf.continuity.common.ExecutorUtil$ThrowExceptionRunnable.run:3 java.util.concurrent.ThreadPoolExecutor.runWorker:1154 
04-14 12:40:32.342 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.344 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.345 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.360 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.402 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.403 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.404 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.405 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.406 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.416 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.496 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.517 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.519 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.522 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.523 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.526 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.528 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.529 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.530 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.533 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.537 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.539 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.539 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.540 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.543 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.544 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.545 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.547 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.547 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.547 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.549 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.553 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.553 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.554 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.558 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.559 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.566 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.567 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.569 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.571 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.585 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.585 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.586 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.590 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.591 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.591 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.593 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.595 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.596 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.598 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.599 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.602 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.604 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.609 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.611 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.613 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.613 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.614 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.615 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.616 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.617 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.618 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.619 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.625 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.628 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.629 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.631 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.633 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.636 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.638 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.640 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.643 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.645 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.647 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.650 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.655 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.657 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.658 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.662 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
